task,round,global_round,method,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss,avg_acc
0,1,1,AFSIC-IOV,34.25,34.25,33.6,99.62,34.25,60.35,34.25,34.25,17.46,50.58,1.767364,34.25
0,2,2,AFSIC-IOV,29.66,29.66,33.64,99.63,29.66,64.65,29.66,29.66,15.76,45.28,2.616564,31.955
0,3,3,AFSIC-IOV,6.62,6.62,33.46,99.62,6.62,35.43,6.62,6.62,4.2,11.81,4.480046,23.51
0,4,4,AFSIC-IOV,6.76,6.76,33.46,99.62,6.76,35.48,6.76,6.76,4.28,12.05,4.937063,19.3225
0,5,5,AFSIC-IOV,63.82,63.82,33.66,99.63,63.82,54.71,63.82,63.82,26.6,77.55,1.41876,28.222
0,6,6,AFSIC-IOV,17.04,17.04,33.47,99.63,17.04,38.92,17.04,17.04,9.84,28.59,4.338079,26.3583
0,7,7,AFSIC-IOV,14.57,14.57,33.47,99.63,14.57,38.09,14.57,14.57,8.6,24.9,4.536208,24.6743
0,8,8,AFSIC-IOV,25.85,25.85,33.48,99.61,25.85,41.87,25.85,25.85,13.9,40.61,3.737909,24.8212
0,9,9,AFSIC-IOV,44.71,44.71,33.54,99.63,44.71,48.18,44.71,44.71,20.95,61.4,2.131153,27.0311
0,10,10,AFSIC-IOV,37.56,37.56,33.52,99.63,37.56,45.79,37.56,37.56,18.5,54.19,2.520799,28.084
0,11,11,AFSIC-IOV,99.78,99.78,57.56,99.84,99.78,67.89,99.78,99.78,61.81,99.8,0.009434,34.6018
0,12,12,AFSIC-IOV,99.92,99.92,68.2,99.9,99.92,66.8,99.92,99.92,64.83,99.91,0.005526,40.045
0,13,13,AFSIC-IOV,99.95,99.95,64.73,99.92,99.95,66.66,99.95,99.95,65.67,99.93,0.004919,44.6531
0,14,14,AFSIC-IOV,99.94,99.94,64.16,99.92,99.94,66.66,99.94,99.94,65.36,99.93,0.004858,48.6021
0,15,15,AFSIC-IOV,99.95,99.95,64.26,99.92,99.95,66.66,99.95,99.95,65.41,99.93,0.004675,52.0253
0,16,16,AFSIC-IOV,99.92,99.92,62.1,99.89,99.92,66.65,99.92,99.92,64.21,99.9,0.004967,55.0188
0,17,17,AFSIC-IOV,99.91,99.91,60.9,99.89,99.91,66.65,99.91,99.91,63.5,99.9,0.005522,57.6594
0,18,18,AFSIC-IOV,99.94,99.94,62.99,99.91,99.94,66.66,99.94,99.94,64.71,99.92,0.004677,60.0083
0,19,19,AFSIC-IOV,99.86,99.86,58.04,99.86,99.86,66.63,99.86,99.86,61.7,99.85,0.007329,62.1058
0,20,20,AFSIC-IOV,99.91,99.91,61.05,99.89,99.91,66.65,99.91,99.91,63.59,99.9,0.005613,63.996
0,21,21,AFSIC-IOV,99.95,99.95,83.07,99.94,99.95,68.86,99.95,99.95,69.65,99.94,0.003362,65.7081
0,22,22,AFSIC-IOV,99.96,99.96,92.08,99.96,99.96,74.54,99.96,99.96,78.14,99.95,0.002988,67.265
0,23,23,AFSIC-IOV,99.96,99.96,91.79,99.96,99.96,74.73,99.96,99.96,78.38,99.96,0.002801,68.6865
0,24,24,AFSIC-IOV,99.96,99.96,91.69,99.96,99.96,73.25,99.96,99.96,76.57,99.95,0.002894,69.9896
0,25,25,AFSIC-IOV,99.96,99.96,92.63,99.96,99.96,71.16,99.96,99.96,73.72,99.95,0.002939,71.1884
0,26,26,AFSIC-IOV,99.96,99.96,97.41,99.96,99.96,72.41,99.96,99.96,75.8,99.95,0.002927,72.295
0,27,27,AFSIC-IOV,99.96,99.96,96.58,99.96,99.96,70.36,99.96,99.96,72.67,99.95,0.002956,73.3196
0,28,28,AFSIC-IOV,99.96,99.96,96.93,99.96,99.96,70.24,99.96,99.96,72.4,99.95,0.003063,74.2711
0,29,29,AFSIC-IOV,99.96,99.96,97.17,99.96,99.96,70.42,99.96,99.96,72.75,99.95,0.002977,75.1569
0,30,30,AFSIC-IOV,99.96,99.96,97.63,99.96,99.96,70.4,99.96,99.96,72.75,99.95,0.003047,75.9837
